Company Name,Country,Status,Website,VAT Number,SIC Code,SIC Desc,Industry,Legal Form,Reg No,Address,Alexa Rank,Monthly Visits,Employees,Turnover,Age
,,,,,,,,,,,,,,,
Allstate Insurance Company,US,Active,allstate.com,---,6331,---,Wholesale,Private limited company (Ltd.),804956,"2775 SANDERS RD, NORTHBROOK, IL, 60062","9,045","12,051,061","25,000",---,84 years
Linkedin,US,Active,lnkd.injobs1,---,---,---,Software,---,---,"1000 W Maude CA Sunnyvale, Mountain View, 94043",---,"2,012,269","20,279",---,20 years
Eaton,US,Active,eaton.eu,---,---,---,Electrical/electronic Manufacturing,---,---,"1000 Eaton Boulevard, Cleveland, OH, 44122","26,946","1,770,597","48,213",---,112 years
"XPO Logistics, Inc.",US,Active,xpo.com,---,4700,---,Logistics And Supply Chain,---,603411483,"5 AMERICAN LN, GREENWICH, Connecticut, 06831-2551","39,912","1,797,703","37,000",---,9 years
United States AIR Force,US,Active,airforce.com,---,---,---,Defense & Space,---,---,"550 D Street West, Suite 1, Randolph AFB, TX, 78150-4527, United States","54,821","876,361","250,000",---,76 years
Abbott,US,Active,abbott.com:443,---,---,---,Pharmaceutical & Medical,---,---,100 Abbott Park Road Illinois Abbott Park,"36,105","890,850","76,931",---,43 years
Oracle,US,Active,oracle.com:443,---,---,---,E-learning,---,---,"500 Oracle Parkway CA Redwood Shores, 02451",561,"28,986,613","169,386",---,46 years
Merrill Lynch,US,Active,ml.com,---,---,---,Financial Services,---,---,"2 World Financial Center NY New York, 95354","4,468","12,836,370","49,820",---,109 years
"HOT Topic, Inc.",US,Active,hottopic.com,---,448190,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",Retail,---,601447604,"18305 SAN JOSE AVE, CITY INDUSTRY, California, 91748-1237","11,875","11,014,837","8,900",---,30 years
FIS,US,Active,fiserv.com,---,---,---,Road Haulage,---,---,"601 Riverside Ave, Jacksonville, Florida","44,148","2,004,099","43,000",---,55 years
"CDK Global, LLC",US,Active,cdkglobal.us,---,"7389, 518210","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Business & Professional Associations,Private limited company (Ltd.),602820156,"1950 HASSELL ROAD, HOFFMAN ESTATES, Illinois, 60169",---,---,"8,200",---,15 years
Wells Fargo,US,Active,wellsfargo.com,---,---,---,Financial Services,---,---,"420 Montgomery Street, San Francisco, California",269,"132,945,251","255,000",---,130 years
IBM,US,Active,ibm.com,---,---,---,Information Technology And Services,---,---,"New York, New York",709,"20,576,064","525,000",---,112 years
